JDate,Pond,Filter,Nanodrop
85,A,GMF,2.6
85,B,GMF,1.7
85,C,GMF,2.6
85,D,GMF,1.7
85,A,SA,4.2
85,B,SA,1.5
85,C,SA,2.2
85,D,SA,3.2
89,A,GMF,1.9
89,B,GMF,3.7
89,C,GMF,2.8
89,D,GMF,2
89,A,SA,3.3
89,B,SA,0.8
89,C,SA,4.1
89,D,SA,5.7
91,A,GMF,2
91,B,GMF,2
91,C,GMF,2.2
91,D,GMF,2.1
91,A,SA,4.7
91,C,SA,3.2
92,A,GMF,3.3
92,B,GMF,1.4
92,C,GMF,2.1
92,D,GMF,2
92,A,SA,5
92,B,SA,1.7
92,C,SA,1.1
92,D,SA,2.2
93,A,GMF,2.7
93,B,GMF,3.5
93,C,GMF,2.7
93,D,GMF,2.4
93,A,SA,1.2
93,B,SA,3.4
93,C,SA,1.3
93,D,SA,0.8
94,A,GMF,2.2
94,B,GMF,1.6
94,C,GMF,1.1
94,D,GMF,2
94,A,SA,1.4
94,B,SA,1.3
94,C,SA,1.9
94,D,SA,2.1
95,A,GMF,5
95,B,GMF,1.4
95,C,GMF,2
95,D,GMF,2.7
95,A,SA,6.6
95,B,SA,8.5
95,C,SA,6.5
95,D,SA,9.6
96,A,GMF,2.9
96,B,GMF,3.8
96,C,GMF,3.1
96,D,GMF,1.4
96,A,SA,9.3
96,B,SA,5.5
96,C,SA,3.7
96,D,SA,4.2
97,A,GMF,3.9
97,B,GMF,4.9
97,C,GMF,0.4
97,D,GMF,2
97,A,SA,6.5
97,B,SA,7.5
97,C,SA,4.6
97,D,SA,4.9
100,A,GMF,1.7
100,B,GMF,1.6
100,C,GMF,1.9
100,D,GMF,2.9
100,A,SA,4.4
100,B,SA,7.2
100,C,SA,8.4
100,D,SA,6.8
103,A,GMF,3.2
103,B,GMF,2.8
103,C,GMF,1.6
103,D,GMF,-0.2
103,A,SA,6.4
103,B,SA,5.3
103,C,SA,5.2
103,D,SA,5
106,A,GMF,2.9
106,B,GMF,2.2
106,C,GMF,1.6
106,D,GMF,4.8
106,A,SA,5.3
106,B,SA,4.4
106,C,SA,7.5
106,D,SA,5
109,A,GMF,1.4
109,B,GMF,4.1
109,C,GMF,3.3
109,D,GMF,5.6
109,A,SA,5.2
109,B,SA,3.6
109,C,SA,4.3
109,D,SA,2.5
112,A,GMF,12.6
112,B,GMF,25.1
112,C,GMF,13.4
112,D,GMF,15.8
112,A,SA,3.1
112,B,SA,9.5
112,C,SA,3.3
112,D,SA,2.9
115,A,GMF,4
115,B,GMF,30.1
115,C,GMF,8.8
115,D,GMF,2.5
115,A,SA,4.6
115,B,SA,5.7
115,C,SA,3.4
115,D,SA,1.5
118,A,GMF,3.3
118,B,GMF,30.5
118,C,GMF,9.9
118,D,GMF,10
118,A,SA,2.5
118,B,SA,6.1
118,C,SA,2.6
118,D,SA,7.2
121,A,GMF,3.4
121,B,GMF,8.5
121,C,GMF,3.5
121,D,GMF,3.4
121,A,SA,7.7
121,B,SA,8.8
121,C,SA,17.3
121,D,SA,6.2
124,A,GMF,16.4
124,B,GMF,3.9
124,C,GMF,3.2
124,D,GMF,38.6
124,A,SA,-1.1
124,B,SA,12.3
124,C,SA,1.1
124,D,SA,2.6
127,A,GMF,17.6
127,B,GMF,16.2
127,C,GMF,9
127,D,GMF,8.3
127,A,SA,6.3
127,B,SA,6.2
127,C,SA,7.8
127,D,SA,6.7
130,A,GMF,10.2
130,B,GMF,-0.4
130,C,GMF,3.1
130,D,GMF,4.1
130,A,SA,9.2
130,B,SA,6.6
130,C,SA,9.1
130,D,SA,6.6
133,A,GMF,25.8
133,B,GMF,15.5
133,C,GMF,13.9
133,D,GMF,5.1
133,A,SA,5.2
133,B,SA,7.7
133,C,SA,6
133,D,SA,5.7
136,A,GMF,28.8
136,B,GMF,3.7
136,C,GMF,12
136,D,GMF,15.3
136,A,SA,8.8
136,B,SA,14
136,C,SA,8.9
136,D,SA,8.5
139,A,GMF,-1.9
139,B,GMF,9.6
139,C,GMF,7.4
139,D,GMF,2.5
139,A,SA,6.8
139,B,SA,9.3
139,C,SA,7.8
139,D,SA,4.6
142,A,GMF,6.9
142,B,GMF,10.2
142,C,GMF,4.3
142,D,GMF,8.6
145,A,GMF,3.7
145,B,GMF,6.3
145,C,GMF,4.3
145,D,GMF,5.3
145,A,SA,4.4
145,B,SA,6.9
145,C,SA,4.8
145,D,SA,3.9
148,A,GMF,2.5
148,B,GMF,1.5
148,C,GMF,5.3
148,D,GMF,5.7
148,A,SA,2.2
148,B,SA,1.6
148,C,SA,2.8
148,D,SA,2.8
151,A,GMF,5.1
151,B,GMF,38.3
151,C,GMF,6.7
151,D,GMF,2.9
151,A,SA,2.4
151,B,SA,7.8
151,C,SA,7.1
151,D,SA,3.1
154,A,GMF,3.5
154,B,GMF,3.5
154,C,GMF,4.3
154,D,GMF,6.4
154,A,SA,7.5
154,B,SA,5.4
154,C,SA,5.5
154,D,SA,3.5
157,A,GMF,11
157,B,GMF,14.1
157,C,GMF,11.8
157,D,GMF,11.2
157,A,SA,9.8
157,B,SA,5.5
157,C,SA,3.9
157,D,SA,6.9
160,A,GMF,15.1
160,B,GMF,3.6
